"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","60","29","Top","0.0"
"C2","40","29","Top","180.0"
"C3","46","20","Top","180.0"
"C4","23","15","Top","90.0"
"C5","48.799","39","Top","90.0"
"C6","22","18","Top","0.0"
"C7","54.799","39","Top","270.0"
"D1","85","19","Top","0.0"
"D2","85","22","Top","0.0"
"J1","56.67","2","Top","0.0"
"J2","1.523","49.324","Top","270.0"
"J3","29.853","68.56","Top","180.0"
"J4","1","33.65","Top","270.0"
"J5","18","66.35","Top","270.0"
"J6","91","59.81","Top","90.0"
"J7","91","34.76","Top","270.0"
"J8","47.35","66","Top","0.0"
"J9","15","29.19","Top","270.0"
"J10","47.35","70","Top","0.0"
"J11","18.65","2","Top","180.0"
"R1","46","18","Top","0.0"
"R2","6","53","Top","0.0"
"R3","32","62","Top","180.0"
"R4","27","62","Top","0.0"
"R5","9","30.5","Top","180.0"
"R6","81","19","Top","180.0"
"R7","81","22","Top","180.0"
"R8","35","30","Top","270.0"
"R9","6","16","Top","90.0"
"R10","8","16","Top","90.0"
"R11","10","16","Top","90.0"
"R12","6","13","Top","90.0"
"R13","8","13","Top","90.0"
"R14","10","13","Top","90.0"
"R15","59","30","Top","180.0"
"R16","59","30.8","Top","0.0"
"S1","30","30","Top","180.0"
"U1","69.512","64.297","Top","180.0"
"U2","50","30","Top","0.0"
"U3","15","15","Top","0.0"
"U4","27.325","14.823","Top","180.0"
"Y1","51.799","39","Top","180.0"
